sp_ID;Canada-2;Canada-3;Canada-4;Canada-5;Canada-6;Canada-7;Canada-8;Canada-9;Canada-10;Canada-11;Canada-12;Canada-13;Canada-14;Canada-15;Canada-16;Canada-17;Canada-18;Canada-19;Canada-20;Canada-21;Canada-22;Canada-23;Canada-24;Canada-25;Canada-26;Canada-27;Canada-28;Canada-29;Canada-30;Canada-31;Canada-33;Canada-34;Canada-35;Canada-36;Canada-37;Canada-38;Canada-39;Canada-40;Canada-41;Canada-42;Canada-43;Canada-44
Diplotaxis muralis;0;170;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Diplotaxis tenuifolia;0;4473;0;0;0;0;0;0;0;0;0;0;0;0;0;27;702;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Echinacea purpurea;0;0;0;0;0;51;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;127;182;0;0;0;0;0;0;0;0;0;0;0;0;240;0;0;0;0;0;0
Echinops sphaerocephalus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;191;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Echium vulgare;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7055;0;0;0;2249;0;3721;0;0;0;0;0;0;0;0;0;0;11
Erucastrum gallicum;0;0;0;0;0;0;0;0;0;0;0;0;0;346;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Eupatorium altissimum;0;0;0;0;0;0;0;0;0;0;0;0;0;159;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Eupatorium perfoliatum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;379;79;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Euphorbia marginata;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;0;0;0
Euthamia graminifolia;0;0;0;0;0;0;0;0;0;0;418;0;0;1174;0;768;1206;0;0;0;0;0;0;381;0;0;342;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Eutrochium purpureum;0;0;0;0;0;34;0;0;0;0;895;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Gaillardia pulchella;0;0;0;0;0;149;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Hydrangea arborescens;0;0;0;0;307;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Hydrangea paniculata;0;0;0;0;10060;873;0;0;0;0;0;0;821;0;2638;0;0;0;0;0;0;0;495;11;0;137;113;0;0;0;0;0;0;0;0;58;0;0;0;0;0;0
Impatiens capensis;0;0;0;0;0;0;0;0;0;0;458;0;0;0;0;646;0;0;0;0;0;0;28;12;0;0;85;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Impatiens glandulifera;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1623;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Lactuca serriola;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Liatris spicata;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Lotus corniculatus;0;0;0;956;0;0;0;0;0;0;0;0;1967;0;1761;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2875;0;31;0;1528;739;0
Lythrum salicaria;0;0;0;0;4794;18688;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;615;0;0;0;0;0;0;0;0;0;0;0;0;84;0;0;0;11;18519;0
Matricaria chamomilla;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;54;0;0;0;0;0;0;0
Melilotus officinalis;0;0;0;0;0;0;0;0;0;0;0;11871;2702;114;0;0;0;0;0;0;0;0;0;0;3884;43;0;0;0;0;0;0;0;0;1406;747;0;7215;0;6309;0;10996
Myosotis sylvatica;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52;73;0;0;0;0;0;0;0;0;0;0;0;0
Penthorum sedoides;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;312;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Phytolacca americana;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;114;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Picris hieracioides;0;0;0;0;0;0;59;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0
Plantago lanceolata;0;0;0;0;4265;326;0;0;0;0;0;0;0;0;4031;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31;17;16;0;0;0;0;0;0;0;0;0
Plantago rugelii;0;0;0;0;58;427;0;0;236;0;0;0;0;0;0;0;0;0;0;0;0;0;596;0;0;21;0;0;0;0;0;19;0;0;0;12;0;0;0;0;0;0
Quercus velutina;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;87;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ratibida pinnata;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Rhamnus cathartica;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;48;0;0;0;0;0;0;0;0;0;0;0;0
Rhus typhina;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;89;0;0;0;0;0;0;0
Securigera varia;0;0;0;4457;0;0;0;0;0;0;0;3779;0;0;0;0;0;0;44;0;0;0;0;160;492;0;0;0;0;0;0;0;0;0;0;0;0;9028;0;0;0;0
Silphium integrifolium;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Silphium perfoliatum;0;0;0;0;0;272;0;0;0;0;0;0;0;0;0;1427;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Sonchus arvensis;0;0;0;0;2383;88;0;0;11;0;251;0;14;1114;219;183;0;0;46;0;0;10;122;0;0;19;0;0;0;0;0;0;0;0;179;0;0;0;94;0;60;0
Sonchus oleraceus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;982;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
